,Country,Year,Indicator:Maternal mortality ratio (per 100 000 live births),Type_of_Medicine,Measure,Total_Sales_Value
23891,Mexico,2012,41,N-Nervous system,Million US$ at exchange rate,972.2
23892,Mexico,2012,41,R-Respiratory system,"Million US$, purchasing power parity",1017.9
23893,Mexico,2012,41,R-Respiratory system,"/capita, US$ purchasing power parity",8.7
23894,Mexico,2012,41,R-Respiratory system,"/capita, US$ exchange rate",5.2
23895,Mexico,2012,41,J-Antiinfectives for systemic use,Million US$ at exchange rate,924.3
23896,Mexico,2012,41,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",7.9
23897,Mexico,2012,41,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",1549.0
23898,Mexico,2012,41,J-Antiinfectives for systemic use,Million of national currency units,12173.0
23899,Mexico,2012,41,N-Nervous system,"/capita, US$ exchange rate",8.3
23900,Mexico,2012,41,N-Nervous system,"/capita, US$ purchasing power parity",13.9
23901,Mexico,2012,41,B-Blood and blood forming organs,"Million US$, purchasing power parity",530.9
23902,Mexico,2012,41,B-Blood and blood forming organs,Million US$ at exchange rate,316.8
23903,Mexico,2012,41,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",4.5
23904,Mexico,2012,41,B-Blood and blood forming organs,"/capita, US$ exchange rate",2.7
23905,Mexico,2012,41,B-Blood and blood forming organs,Million of national currency units,4172.0
23906,Mexico,2011,43,M-Musculo-skeletal system,Million of national currency units,4208.0
23907,Mexico,2011,43,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",4.8
23908,Mexico,2011,43,R-Respiratory system,Million of national currency units,7354.0
23909,Mexico,2011,43,R-Respiratory system,Million US$ at exchange rate,592.0
23910,Mexico,2011,43,M-Musculo-skeletal system,Million US$ at exchange rate,338.7
23911,Mexico,2011,43,M-Musculo-skeletal system,"/capita, US$ exchange rate",2.9
23912,Mexico,2011,43,M-Musculo-skeletal system,"Million US$, purchasing power parity",548.4
23913,Mexico,2011,43,C-Cardiovascular system,"/capita, US$ exchange rate",7.2
23914,Mexico,2011,43,C-Cardiovascular system,Million US$ at exchange rate,827.2
23915,Mexico,2011,43,C-Cardiovascular system,"Million US$, purchasing power parity",1339.4
23916,Mexico,2011,43,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",9.0
23917,Mexico,2011,43,C-Cardiovascular system,"/capita, US$ purchasing power parity",11.6
23918,Mexico,2011,43,Products not elsewhere classified,"/capita, US$ exchange rate",11.9
23919,Mexico,2011,43,Products not elsewhere classified,"/capita, US$ purchasing power parity",19.2
23920,Mexico,2011,43,Products not elsewhere classified,"Million US$, purchasing power parity",2217.4
23921,Mexico,2011,43,Products not elsewhere classified,Million of national currency units,17014.0
23922,Mexico,2011,43,C-Cardiovascular system,Million of national currency units,10277.0
23923,Mexico,2011,43,Products not elsewhere classified,Million US$ at exchange rate,1369.5
23924,Mexico,2011,43,N-Nervous system,Million of national currency units,12584.0
23925,Mexico,2011,43,N-Nervous system,"Million US$, purchasing power parity",1640.0
23926,Mexico,2011,43,N-Nervous system,Million US$ at exchange rate,1012.9
23927,Mexico,2011,43,R-Respiratory system,"Million US$, purchasing power parity",958.4
23928,Mexico,2011,43,R-Respiratory system,"/capita, US$ purchasing power parity",8.3
23929,Mexico,2011,43,R-Respiratory system,"/capita, US$ exchange rate",5.1
23930,Mexico,2011,43,J-Antiinfectives for systemic use,Million US$ at exchange rate,638.8
23931,Mexico,2011,43,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",5.5
23932,Mexico,2011,43,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",1034.3
23933,Mexico,2011,43,N-Nervous system,"/capita, US$ exchange rate",8.8
23934,Mexico,2011,43,J-Antiinfectives for systemic use,Million of national currency units,7936.0
23935,Mexico,2011,43,N-Nervous system,"/capita, US$ purchasing power parity",14.2
23936,Mexico,2011,43,B-Blood and blood forming organs,"Million US$, purchasing power parity",290.8
23937,Mexico,2011,43,B-Blood and blood forming organs,Million US$ at exchange rate,179.6
23938,Mexico,2011,43,B-Blood and blood forming organs,"/capita, US$ exchange rate",1.6
23939,Mexico,2011,43,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",2.5
23940,Mexico,2011,43,B-Blood and blood forming organs,Million of national currency units,2231.0
23941,Mexico,2010,46,M-Musculo-skeletal system,Million of national currency units,5495.0
23942,Mexico,2010,46,M-Musculo-skeletal system,Million US$ at exchange rate,434.9
23943,Mexico,2010,46,R-Respiratory system,Million of national currency units,8936.0
23944,Mexico,2010,46,R-Respiratory system,Million US$ at exchange rate,707.2
23945,Mexico,2010,46,M-Musculo-skeletal system,"/capita, US$ exchange rate",3.8
23946,Mexico,2010,46,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",6.3
23947,Mexico,2010,46,M-Musculo-skeletal system,"Million US$, purchasing power parity",715.5
23948,Mexico,2010,46,C-Cardiovascular system,"/capita, US$ exchange rate",7.0
23949,Mexico,2010,46,C-Cardiovascular system,Million US$ at exchange rate,801.1
23950,Mexico,2010,46,C-Cardiovascular system,"Million US$, purchasing power parity",1318.2
23951,Mexico,2010,46,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",8.6
23952,Mexico,2010,46,C-Cardiovascular system,"/capita, US$ purchasing power parity",11.6
23953,Mexico,2010,46,Products not elsewhere classified,"/capita, US$ exchange rate",12.0
23954,Mexico,2010,46,Products not elsewhere classified,"/capita, US$ purchasing power parity",19.7
23955,Mexico,2010,46,Products not elsewhere classified,Million of national currency units,17216.0
23956,Mexico,2010,46,C-Cardiovascular system,Million of national currency units,10123.0
23957,Mexico,2010,46,Products not elsewhere classified,"Million US$, purchasing power parity",2241.8
23958,Mexico,2010,46,Products not elsewhere classified,Million US$ at exchange rate,1362.5
23959,Mexico,2010,46,N-Nervous system,Million of national currency units,14077.0
23960,Mexico,2010,46,N-Nervous system,"Million US$, purchasing power parity",1833.0
23961,Mexico,2010,46,N-Nervous system,Million US$ at exchange rate,1114.0
23962,Mexico,2010,46,R-Respiratory system,"Million US$, purchasing power parity",1163.6
23963,Mexico,2010,46,R-Respiratory system,"/capita, US$ exchange rate",6.2
23964,Mexico,2010,46,R-Respiratory system,"/capita, US$ purchasing power parity",10.2
23965,Mexico,2010,46,J-Antiinfectives for systemic use,Million US$ at exchange rate,591.8
23966,Mexico,2010,46,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",5.2
23967,Mexico,2010,46,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",973.7
23968,Mexico,2010,46,N-Nervous system,"/capita, US$ exchange rate",9.8
23969,Mexico,2010,46,N-Nervous system,"/capita, US$ purchasing power parity",16.1
23970,Mexico,2010,46,J-Antiinfectives for systemic use,Million of national currency units,7478.0
23971,Mexico,2010,46,B-Blood and blood forming organs,"Million US$, purchasing power parity",511.7
23972,Mexico,2010,46,B-Blood and blood forming organs,Million US$ at exchange rate,311.0
23973,Mexico,2010,46,B-Blood and blood forming organs,"/capita, US$ exchange rate",2.7
23974,Mexico,2010,46,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",4.5
23975,Mexico,2010,46,B-Blood and blood forming organs,Million of national currency units,3930.0
23976,Mexico,2017,33,M-Musculo-skeletal system,Million of national currency units,2708.0
23977,Mexico,2017,33,R-Respiratory system,Million of national currency units,5570.0
23978,Mexico,2017,33,M-Musculo-skeletal system,"/capita, US$ exchange rate",1.2
23979,Mexico,2017,33,M-Musculo-skeletal system,Million US$ at exchange rate,143.1
23980,Mexico,2017,33,M-Musculo-skeletal system,"Million US$, purchasing power parity",303.8
23981,Mexico,2017,33,N-Nervous system,"/capita, US$ exchange rate",7.1
23982,Mexico,2017,33,C-Cardiovascular system,"Million US$, purchasing power parity",1176.9
23983,Mexico,2017,33,C-Cardiovascular system,"/capita, US$ exchange rate",4.5
23984,Mexico,2017,33,C-Cardiovascular system,Million US$ at exchange rate,554.2
23985,Mexico,2017,33,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",20.4
23986,Mexico,2017,33,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",9.6
23987,Mexico,2017,33,C-Cardiovascular system,"/capita, US$ purchasing power parity",9.5
23988,Mexico,2017,33,Products not elsewhere classified,"/capita, US$ exchange rate",8.4
23989,Mexico,2017,33,Products not elsewhere classified,"Million US$, purchasing power parity",2221.4
23990,Mexico,2017,33,Products not elsewhere classified,"/capita, US$ purchasing power parity",17.9
23991,Mexico,2017,33,Products not elsewhere classified,Million of national currency units,19800.8
23992,Mexico,2017,33,C-Cardiovascular system,Million of national currency units,10490.0
23993,Mexico,2017,33,Products not elsewhere classified,Million US$ at exchange rate,1046.2
23994,Mexico,2017,33,N-Nervous system,Million of national currency units,16565.0
23995,Mexico,2017,33,R-Respiratory system,"/capita, US$ purchasing power parity",5.0
23996,Mexico,2017,33,N-Nervous system,Million US$ at exchange rate,875.2
23997,Mexico,2017,33,R-Respiratory system,"Million US$, purchasing power parity",624.9
23998,Mexico,2017,33,R-Respiratory system,Million US$ at exchange rate,294.3
23999,Mexico,2017,33,R-Respiratory system,"/capita, US$ exchange rate",2.4
24000,Mexico,2017,33,J-Antiinfectives for systemic use,Million US$ at exchange rate,1192.2
24001,Mexico,2017,33,J-Antiinfectives for systemic use,Million of national currency units,22564.0
24002,Mexico,2017,33,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",2531.4
24003,Mexico,2017,33,N-Nervous system,"Million US$, purchasing power parity",1858.4
24004,Mexico,2017,33,N-Nervous system,"/capita, US$ purchasing power parity",15.0
24005,Mexico,2017,33,B-Blood and blood forming organs,Million US$ at exchange rate,86.7
24006,Mexico,2017,33,B-Blood and blood forming organs,Million of national currency units,1640.0
24007,Mexico,2017,33,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",1.5
24008,Mexico,2017,33,B-Blood and blood forming organs,"Million US$, purchasing power parity",184.0
24009,Mexico,2017,33,B-Blood and blood forming organs,"/capita, US$ exchange rate",0.7
24010,Mexico,2017,33,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",2.4
24011,Netherlands,2016,6,Total pharmaceutical sales,"/capita, US$ purchasing power parity",334.6
24012,Netherlands,2016,6,Total pharmaceutical sales,"Million US$, purchasing power parity",5697.7
24013,Netherlands,2016,6,Total pharmaceutical sales,Million of national currency units,4532.2
24014,Netherlands,2016,6,Total pharmaceutical sales,Million US$ at exchange rate,5016.8
24015,Netherlands,2016,6,Total pharmaceutical sales,"/capita, US$ exchange rate",294.6
24016,Netherlands,2015,6,Total pharmaceutical sales,"/capita, US$ purchasing power parity",325.3
24017,Netherlands,2015,6,Total pharmaceutical sales,"Million US$, purchasing power parity",5510.4
24018,Netherlands,2015,6,Total pharmaceutical sales,Million US$ at exchange rate,4952.1
24019,Netherlands,2015,6,Total pharmaceutical sales,Million of national currency units,4463.3
24020,Netherlands,2015,6,Total pharmaceutical sales,"/capita, US$ exchange rate",292.3
24021,Netherlands,2014,6,R03-Drugs for obstructive airway diseases,"/capita, US$ purchasing power parity",30.4
24022,Netherlands,2014,6,R03-Drugs for obstructive airway diseases,"/capita, US$ exchange rate",32.6
24023,Netherlands,2014,6,J-Antiinfectives for systemic use,Million of national currency units,387.7
24024,Netherlands,2014,6,J-Antiinfectives for systemic use,Million US$ at exchange rate,515.0
24025,Netherlands,2014,6,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",479.3
24026,Netherlands,2014,6,R03-Drugs for obstructive airway diseases,% of total sales,9.6
24027,Netherlands,2014,6,B-Blood and blood forming organs,Million of national currency units,267.6
24028,Netherlands,2014,6,N06A-Antidepressants,% of total sales,2.3
24029,Netherlands,2014,6,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",19.6
24030,Netherlands,2014,6,B-Blood and blood forming organs,"/capita, US$ exchange rate",21.1
24031,Netherlands,2014,6,B-Blood and blood forming organs,"Million US$, purchasing power parity",330.9
24032,Netherlands,2014,6,B-Blood and blood forming organs,Million US$ at exchange rate,355.5
24033,Netherlands,2014,6,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",30.5
24034,Netherlands,2014,6,C09-Agents acting on the Renin-Angiotensin system,Million of national currency units,141.1
24035,Netherlands,2014,6,R03-Drugs for obstructive airway diseases,"Million US$, purchasing power parity",512.0
24036,Netherlands,2014,6,R03-Drugs for obstructive airway diseases,Million US$ at exchange rate,550.2
24037,Netherlands,2014,6,R03-Drugs for obstructive airway diseases,Million of national currency units,414.1
24038,Netherlands,2014,6,C09-Agents acting on the Renin-Angiotensin system,Million US$ at exchange rate,187.5
24039,Netherlands,2014,6,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",28.4
24040,Netherlands,2014,6,J-Antiinfectives for systemic use,% of total sales,9.0
24041,Netherlands,2014,6,C09-Agents acting on the Renin-Angiotensin system,% of total sales,3.3
24042,Netherlands,2014,6,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ purchasing power parity",10.3
24043,Netherlands,2014,6,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ exchange rate",11.1
24044,Netherlands,2014,6,C09-Agents acting on the Renin-Angiotensin system,"Million US$, purchasing power parity",174.5
24045,Netherlands,2014,6,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,9.6
24046,Netherlands,2014,6,"C01B-Antiarrhythmics, Class I and III",Million US$ at exchange rate,12.8
24047,Netherlands,2014,6,"C01B-Antiarrhythmics, Class I and III","Million US$, purchasing power parity",11.9
24048,Netherlands,2014,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million of national currency units,129.9
24049,Netherlands,2014,6,Total pharmaceutical sales,"/capita, US$ purchasing power parity",317.3
24050,Netherlands,2014,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ exchange rate",10.2
24051,Netherlands,2014,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ purchasing power parity",9.5
24052,Netherlands,2014,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",% of total sales,3.0
24053,Netherlands,2014,6,C03-Diuretics,% of total sales,1.9
24054,Netherlands,2014,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","Million US$, purchasing power parity",160.6
24055,Netherlands,2014,6,"C01B-Antiarrhythmics, Class I and III","/capita, US$ exchange rate",0.8
24056,Netherlands,2014,6,"C01B-Antiarrhythmics, Class I and III","/capita, US$ purchasing power parity",0.7
24057,Netherlands,2014,6,"C01B-Antiarrhythmics, Class I and III",% of total sales,0.2
24058,Netherlands,2014,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million US$ at exchange rate,172.6
24059,Netherlands,2014,6,Total pharmaceutical sales,"Million US$, purchasing power parity",5351.6
24060,Netherlands,2014,6,Total pharmaceutical sales,Million of national currency units,4328.4
24061,Netherlands,2014,6,N06A-Antidepressants,"/capita, US$ purchasing power parity",7.3
24062,Netherlands,2014,6,Total pharmaceutical sales,Million US$ at exchange rate,5750.2
24063,Netherlands,2014,6,N-Nervous system,% of total sales,13.2
24064,Netherlands,2014,6,N-Nervous system,Million of national currency units,571.7
24065,Netherlands,2014,6,Total pharmaceutical sales,"/capita, US$ exchange rate",341.0
24066,Netherlands,2014,6,N-Nervous system,Million US$ at exchange rate,759.6
24067,Netherlands,2014,6,N-Nervous system,"/capita, US$ purchasing power parity",41.9
24068,Netherlands,2014,6,N-Nervous system,"Million US$, purchasing power parity",706.9
24069,Netherlands,2014,6,N-Nervous system,"/capita, US$ exchange rate",45.0
24070,Netherlands,2014,6,J01-Antibacterials for systemic use,"/capita, US$ purchasing power parity",7.5
24071,Netherlands,2014,6,J01-Antibacterials for systemic use,"/capita, US$ exchange rate",8.1
24072,Netherlands,2014,6,C-Cardiovascular system,Million US$ at exchange rate,906.2
24073,Netherlands,2014,6,C-Cardiovascular system,Million of national currency units,682.1
24074,Netherlands,2014,6,C01A-Cardiac glycosides,% of total sales,0.1
24075,Netherlands,2014,6,B-Blood and blood forming organs,% of total sales,6.2
24076,Netherlands,2014,6,J01-Antibacterials for systemic use,Million of national currency units,102.9
24077,Netherlands,2014,6,J01-Antibacterials for systemic use,Million US$ at exchange rate,136.7
24078,Netherlands,2014,6,J01-Antibacterials for systemic use,"Million US$, purchasing power parity",127.2
24079,Netherlands,2014,6,C-Cardiovascular system,"Million US$, purchasing power parity",843.4
24080,Netherlands,2014,6,N05C-Hypnotics and sedatives,"/capita, US$ purchasing power parity",1.0
24081,Netherlands,2014,6,N05C-Hypnotics and sedatives,"/capita, US$ exchange rate",1.1
24082,Netherlands,2014,6,N05C-Hypnotics and sedatives,"Million US$, purchasing power parity",17.2
24083,Netherlands,2014,6,N05C-Hypnotics and sedatives,Million US$ at exchange rate,18.5
24084,Netherlands,2014,6,C-Cardiovascular system,"/capita, US$ exchange rate",53.7
24085,Netherlands,2014,6,C-Cardiovascular system,"/capita, US$ purchasing power parity",50.0
24086,Netherlands,2014,6,C-Cardiovascular system,% of total sales,15.8
24087,Netherlands,2014,6,J01-Antibacterials for systemic use,% of total sales,2.4
24088,Netherlands,2014,6,N05C-Hypnotics and sedatives,% of total sales,0.3
24089,Netherlands,2014,6,A10-Drugs used in diabetes,"/capita, US$ purchasing power parity",19.7
24090,Netherlands,2014,6,A10-Drugs used in diabetes,% of total sales,6.2
24091,Netherlands,2014,6,G03-Sex hormones and modulators of the genital system,% of total sales,0.6
24092,Netherlands,2014,6,G03-Sex hormones and modulators of the genital system,"/capita, US$ purchasing power parity",2.1
24093,Netherlands,2014,6,G03-Sex hormones and modulators of the genital system,"/capita, US$ exchange rate",2.2
24094,Netherlands,2014,6,A10-Drugs used in diabetes,Million of national currency units,268.1
24095,Netherlands,2014,6,A10-Drugs used in diabetes,"/capita, US$ exchange rate",21.1
24096,Netherlands,2014,6,A10-Drugs used in diabetes,"Million US$, purchasing power parity",331.5
24097,Netherlands,2014,6,A10-Drugs used in diabetes,Million US$ at exchange rate,356.2
24098,Netherlands,2014,6,C01A-Cardiac glycosides,Million US$ at exchange rate,7.9
24099,Netherlands,2014,6,C01A-Cardiac glycosides,"Million US$, purchasing power parity",7.4
24100,Netherlands,2014,6,C01A-Cardiac glycosides,"/capita, US$ exchange rate",0.5
24101,Netherlands,2014,6,C01A-Cardiac glycosides,"/capita, US$ purchasing power parity",0.4
24102,Netherlands,2014,6,C01A-Cardiac glycosides,Million of national currency units,6.0
24103,Netherlands,2014,6,G03-Sex hormones and modulators of the genital system,"Million US$, purchasing power parity",34.7
24104,Netherlands,2014,6,G03-Sex hormones and modulators of the genital system,Million US$ at exchange rate,37.3
24105,Netherlands,2014,6,G03-Sex hormones and modulators of the genital system,Million of national currency units,28.1
24106,Netherlands,2014,6,N05C-Hypnotics and sedatives,Million of national currency units,13.9
24107,Netherlands,2014,6,M01A-Antiinflammatory and antirheumatic products non-steroids,Million of national currency units,69.0
24108,Netherlands,2014,6,M01A-Antiinflammatory and antirheumatic products non-steroids,Million US$ at exchange rate,91.6
24109,Netherlands,2014,6,M01A-Antiinflammatory and antirheumatic products non-steroids,"Million US$, purchasing power parity",85.3
24110,Netherlands,2014,6,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ exchange rate",5.4
24111,Netherlands,2014,6,N06A-Antidepressants,"Million US$, purchasing power parity",123.3
24112,Netherlands,2014,6,A02A-Antacids,"Million US$, purchasing power parity",0.0
24113,Netherlands,2014,6,A02A-Antacids,"/capita, US$ exchange rate",0.0
24114,Netherlands,2014,6,A02A-Antacids,"/capita, US$ purchasing power parity",0.0
24115,Netherlands,2014,6,A02A-Antacids,% of total sales,0.0
24116,Netherlands,2014,6,C07-Beta blocking agents,Million US$ at exchange rate,123.9
24117,Netherlands,2014,6,C07-Beta blocking agents,Million of national currency units,93.3
24118,Netherlands,2014,6,N06A-Antidepressants,"/capita, US$ exchange rate",7.9
24119,Netherlands,2014,6,C07-Beta blocking agents,"Million US$, purchasing power parity",115.3
24120,Netherlands,2014,6,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ purchasing power parity",5.1
24121,Netherlands,2014,6,M01A-Antiinflammatory and antirheumatic products non-steroids,% of total sales,1.6
24122,Netherlands,2014,6,C07-Beta blocking agents,% of total sales,2.2
24123,Netherlands,2014,6,C07-Beta blocking agents,"/capita, US$ purchasing power parity",6.8
24124,Netherlands,2014,6,C07-Beta blocking agents,"/capita, US$ exchange rate",7.3
24125,Netherlands,2014,6,C08-Calcium channel blockers,Million US$ at exchange rate,87.5
24126,Netherlands,2014,6,C08-Calcium channel blockers,"Million US$, purchasing power parity",81.4
24127,Netherlands,2014,6,C08-Calcium channel blockers,"/capita, US$ exchange rate",5.2
24128,Netherlands,2014,6,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",4.8
24129,Netherlands,2014,6,C08-Calcium channel blockers,Million of national currency units,65.8
24130,Netherlands,2014,6,N06A-Antidepressants,Million of national currency units,99.7
24131,Netherlands,2014,6,N06A-Antidepressants,Million US$ at exchange rate,132.4
24132,Netherlands,2014,6,N02-Analgesics,"/capita, US$ purchasing power parity",10.5
24133,Netherlands,2014,6,N02-Analgesics,% of total sales,3.3
24134,Netherlands,2014,6,A02A-Antacids,Million of national currency units,0.0
24135,Netherlands,2014,6,A02A-Antacids,Million US$ at exchange rate,0.0
24136,Netherlands,2014,6,N02-Analgesics,"/capita, US$ exchange rate",11.3
24137,Netherlands,2014,6,C08-Calcium channel blockers,% of total sales,1.5
24138,Netherlands,2014,6,N02-Analgesics,Million of national currency units,143.6
24139,Netherlands,2014,6,N02-Analgesics,Million US$ at exchange rate,190.8
24140,Netherlands,2014,6,N02-Analgesics,"Million US$, purchasing power parity",177.6
24141,Netherlands,2014,6,C03-Diuretics,"/capita, US$ purchasing power parity",5.9
24142,Netherlands,2014,6,N05B-Anxiolytics,Million of national currency units,20.4
24143,Netherlands,2014,6,R-Respiratory system,Million US$ at exchange rate,686.1
24144,Netherlands,2014,6,R-Respiratory system,Million of national currency units,516.5
24145,Netherlands,2014,6,N05B-Anxiolytics,"/capita, US$ purchasing power parity",1.5
24146,Netherlands,2014,6,N05B-Anxiolytics,"/capita, US$ exchange rate",1.6
24147,Netherlands,2014,6,N05B-Anxiolytics,"Million US$, purchasing power parity",25.2
24148,Netherlands,2014,6,N05B-Anxiolytics,Million US$ at exchange rate,27.1
24149,Netherlands,2014,6,G-Genito urinary system and sex hormones,% of total sales,2.4
24150,Netherlands,2014,6,R-Respiratory system,% of total sales,11.9
24151,Netherlands,2014,6,G-Genito urinary system and sex hormones,"Million US$, purchasing power parity",129.8
24152,Netherlands,2014,6,R-Respiratory system,"/capita, US$ purchasing power parity",37.9
24153,Netherlands,2014,6,G-Genito urinary system and sex hormones,Million US$ at exchange rate,139.5
24154,Netherlands,2014,6,G-Genito urinary system and sex hormones,Million of national currency units,105.0
24155,Netherlands,2014,6,G-Genito urinary system and sex hormones,"/capita, US$ purchasing power parity",7.7
24156,Netherlands,2014,6,G-Genito urinary system and sex hormones,"/capita, US$ exchange rate",8.3
24157,Netherlands,2014,6,R-Respiratory system,"Million US$, purchasing power parity",638.6
24158,Netherlands,2014,6,R-Respiratory system,"/capita, US$ exchange rate",40.7
24159,Netherlands,2014,6,N05B-Anxiolytics,% of total sales,0.5
24160,Netherlands,2014,6,C02-Antihypertensives,% of total sales,0.8
24161,Netherlands,2014,6,C10-Lipid modifying agents,Million of national currency units,213.7
24162,Netherlands,2014,6,C02-Antihypertensives,"/capita, US$ purchasing power parity",2.6
24163,Netherlands,2014,6,C10-Lipid modifying agents,Million US$ at exchange rate,283.9
24164,Netherlands,2014,6,C10-Lipid modifying agents,"Million US$, purchasing power parity",264.2
24165,Netherlands,2014,6,C02-Antihypertensives,"Million US$, purchasing power parity",43.3
24166,Netherlands,2014,6,C02-Antihypertensives,Million US$ at exchange rate,46.6
24167,Netherlands,2014,6,C02-Antihypertensives,Million of national currency units,35.0
24168,Netherlands,2014,6,C02-Antihypertensives,"/capita, US$ exchange rate",2.8
24169,Netherlands,2014,6,A-Alimentary tract and metabolism,"Million US$, purchasing power parity",805.6
24170,Netherlands,2014,6,A-Alimentary tract and metabolism,Million US$ at exchange rate,865.6
24171,Netherlands,2014,6,A-Alimentary tract and metabolism,Million of national currency units,651.6
24172,Netherlands,2014,6,A-Alimentary tract and metabolism,"/capita, US$ exchange rate",51.3
24173,Netherlands,2014,6,C10-Lipid modifying agents,"/capita, US$ exchange rate",16.8
24174,Netherlands,2014,6,C10-Lipid modifying agents,"/capita, US$ purchasing power parity",15.7
24175,Netherlands,2014,6,C10-Lipid modifying agents,% of total sales,4.9
24176,Netherlands,2014,6,A-Alimentary tract and metabolism,% of total sales,15.1
24177,Netherlands,2014,6,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",47.8
24178,Netherlands,2014,6,M-Musculo-skeletal system,Million of national currency units,121.1
24179,Netherlands,2014,6,C03-Diuretics,"/capita, US$ exchange rate",6.3
24180,Netherlands,2014,6,C03-Diuretics,"Million US$, purchasing power parity",99.5
24181,Netherlands,2014,6,C03-Diuretics,Million US$ at exchange rate,106.9
24182,Netherlands,2014,6,M-Musculo-skeletal system,Million US$ at exchange rate,160.9
24183,Netherlands,2014,6,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",8.9
24184,Netherlands,2014,6,M-Musculo-skeletal system,"/capita, US$ exchange rate",9.5
24185,Netherlands,2014,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"Million US$, purchasing power parity",144.8
24186,Netherlands,2014,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ exchange rate",9.2
24187,Netherlands,2014,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ purchasing power parity",8.6
24188,Netherlands,2014,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),% of total sales,2.7
24189,Netherlands,2014,6,C03-Diuretics,Million of national currency units,80.5
24190,Netherlands,2014,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million of national currency units,117.1
24191,Netherlands,2014,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million US$ at exchange rate,155.6
24192,Netherlands,2014,6,M-Musculo-skeletal system,% of total sales,2.8
24193,Netherlands,2014,6,M-Musculo-skeletal system,"Million US$, purchasing power parity",149.7
24194,Netherlands,2013,6,R03-Drugs for obstructive airway diseases,"/capita, US$ purchasing power parity",32.1
24195,Netherlands,2013,6,R03-Drugs for obstructive airway diseases,"/capita, US$ exchange rate",34.0
24196,Netherlands,2013,6,J-Antiinfectives for systemic use,Million of national currency units,393.7
24197,Netherlands,2013,6,J-Antiinfectives for systemic use,Million US$ at exchange rate,522.8
24198,Netherlands,2013,6,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",493.2
24199,Netherlands,2013,6,R03-Drugs for obstructive airway diseases,% of total sales,10.0
24200,Netherlands,2013,6,B-Blood and blood forming organs,Million of national currency units,258.1
24201,Netherlands,2013,6,N06A-Antidepressants,% of total sales,2.3
24202,Netherlands,2013,6,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",19.2
24203,Netherlands,2013,6,B-Blood and blood forming organs,"/capita, US$ exchange rate",20.4
24204,Netherlands,2013,6,B-Blood and blood forming organs,"Million US$, purchasing power parity",323.4
24205,Netherlands,2013,6,C09-Agents acting on the Renin-Angiotensin system,Million US$ at exchange rate,222.7
24206,Netherlands,2013,6,C09-Agents acting on the Renin-Angiotensin system,Million of national currency units,167.6
24207,Netherlands,2013,6,R03-Drugs for obstructive airway diseases,"Million US$, purchasing power parity",538.9
24208,Netherlands,2013,6,R03-Drugs for obstructive airway diseases,Million US$ at exchange rate,571.3
24209,Netherlands,2013,6,R03-Drugs for obstructive airway diseases,Million of national currency units,430.1
